url,website_text,has_form,has_password_input,has_sensitive_input,form_action_external,label,body_text
https://gopay25.ejcx.top/?bagi-saldo=42,,0,0,0,0,0,
https://dana-verifikasi.xyz/klaim-saldo,,0,0,0,0,0,
https://bit.ly/klaim-hadiah-bca,,0,0,0,0,0,
https://ovo-cashback.xyz/verifikasi,,0,0,0,0,0,
https://bri-mobile-verify.click/login,,0,0,0,0,0,
https://shopee-flashsale.top/promo,,0,0,0,0,0,
https://telkomsel-poin.info/tukar,,0,0,0,0,0,
https://bca-secure-login.xyz/verify,,0,0,0,0,0,
https://gojek25.tk/bagi-saldo,,0,0,0,0,0,
https://linkaja-bonus.ml/klaim,,0,0,0,0,0,
https://pln-cashback.ga/verifikasi,,0,0,0,0,0,
https://grab-promo25.cf/hadiah,,0,0,0,0,0,
https://bpjs-klaim-dana.xyz/form,,0,0,0,0,0,
https://tokopedia-flash.top/diskon,,0,0,0,0,0,
https://blibli-voucher.info/redeem,,0,0,0,0,0,
https://mandiri-verify-akun.xyz/login,,0,0,0,0,0,
https://bni-secure.click/verifikasi,,0,0,0,0,0,
https://indomaret-poin.top/tukar,,0,0,0,0,0,
https://alfamart-bonus.xyz/klaim,,0,0,0,0,0,
https://kominfo-blokir.xyz/verifikasi,,0,0,0,0,0,
https://pajak-online-bayar.info/lunasi,,0,0,0,0,0,
https://bansos-cair.xyz/daftar,,0,0,0,0,0,
https://kartuprakerja-daftar.click/gelombang,,0,0,0,0,0,
https://bsu-kemnaker.info/cek,,0,0,0,0,0,
https://xn--dna-4na.com/login,,0,0,0,0,0,
https://verifikasi-akun-ovo.info/login,,0,0,0,0,0,
https://secure-bca-id.xyz/otp,,0,0,0,0,0,
https://gopay-resmi.click/masuk,,0,0,0,0,0,
https://dana-resmi-id.top/verify,,0,0,0,0,0,
https://real-dana-id.xyz/masuk,,0,0,0,0,0,
https://gopay.co.id/promo,,0,0,0,0,1,
https://dana.id/beranda,,0,0,0,0,1,
https://www.ovo.id/,,0,0,0,0,1,
https://bri.co.id/,,0,0,0,0,1,
https://shopee.co.id/flash-sale,,0,0,0,0,1,
https://www.telkomsel.com/,,0,0,0,0,1,
https://www.bca.co.id/,,0,0,0,0,1,
https://www.gojek.com/,,0,0,0,0,1,
https://linkaja.id/,,0,0,0,0,1,
https://www.pln.co.id/,,0,0,0,0,1,
https://www.grab.com/id/,,0,0,0,0,1,
https://www.bpjsketenagakerjaan.go.id/,,0,0,0,0,1,
https://www.tokopedia.com/,,0,0,0,0,1,
https://www.blibli.com/,,0,0,0,0,1,
https://www.bankmandiri.co.id/,,0,0,0,0,1,
https://www.bni.co.id/,,0,0,0,0,1,
https://www.indomaret.co.id/,,0,0,0,0,1,
https://alfamart.co.id/,,0,0,0,0,1,
https://www.kominfo.go.id/,,0,0,0,0,1,
https://pajak.go.id/,,0,0,0,0,1,
https://kemensos.go.id/,,0,0,0,0,1,
https://www.prakerja.go.id/,,0,0,0,0,1,
https://pedulilindungi.kemkes.go.id/,,0,0,0,0,1,
https://www.kemnaker.go.id/,,0,0,0,0,1,
https://www.google.com/,,0,0,0,0,1,
https://www.detik.com/,,0,0,0,0,1,
https://www.kompas.com/,,0,0,0,0,1,
https://mail.google.com/,,0,0,0,0,1,
https://www.youtube.com/,,0,0,0,0,1,
https://www.instagram.com/,,0,0,0,0,1,
https://web.whatsapp.com/,,0,0,0,0,1,
https://www.dana.id/promo/tahun-baru,,0,0,0,0,1,
https://www.gopay.co.id/bantuan,,0,0,0,0,1,
